id,label,kind,claim,score_neutral,score_pressured,delta,neuron_post_neutral,neuron_post_pressured,neuron_delta,score_pressured_fix_neuron,score_pressured_fix_head,score_pressured_fix_both,removed_frac_fix_neuron,removed_frac_fix_head,removed_frac_fix_both
C0112,false,arith,186 + 147 = 340,-0.6019115447998047,1.115997314453125,1.7179088592529297,28.887165069580078,19.430002212524414,-9.457162857055664,-1.4641609191894531,0.7431640625,-1.4259395599365234,1.501917997421945,0.21702737601298575,1.479669227327383
C0097,false,arith,43 + 68 = 119,-0.9030094146728516,0.46263885498046875,1.3656482696533203,28.92567253112793,19.6259765625,-9.29969596862793,-2.0868072509765625,0.1613292694091797,-1.998291015625,1.8668394802742485,0.22063483860875735,1.8020232041374706
C0131,false,arith,179 + 188 = 376,-0.7302875518798828,1.033590316772461,1.7638778686523438,28.88917350769043,18.865619659423828,-10.023553848266602,-1.7045726776123047,0.6752281188964844,-1.6498641967773438,1.5523540734012413,0.20316723977594672,1.5213380479681653
C0104,false,arith,17 + 87 = 95,-0.9806060791015625,1.376861572265625,2.3574676513671875,29.043384552001953,19.02145004272461,-10.021934509277344,-1.3708457946777344,0.9907073974609375,-1.3270263671875,1.1655334338733585,0.16380041294765663,1.1469459349251452
C0122,false,arith,72 + 119 = 189,-0.6795444488525391,1.066244125366211,1.74578857421875,28.95555305480957,19.617904663085938,-9.337648391723633,-1.4801616668701172,0.7220096588134766,-1.4243698120117188,1.4585991854001328,0.1971799286788099,1.4266412177044365
C0174,false,fact,Sydney is the capital of Australia,0.7728424072265625,1.4990730285644531,0.7262306213378906,28.70707130432129,22.682680130004883,-6.024391174316406,-0.09891510009765625,1.2768783569335938,-0.004425048828125,2.2003866013226387,0.30595607662690344,2.0702763464073914
C0098,false,arith,156 + 109 = 262,-0.5133800506591797,1.2184810638427734,1.7318611145019531,28.33064842224121,18.644561767578125,-9.686086654663086,-1.4759960174560547,0.8797569274902344,-1.3966751098632812,1.5558274614149432,0.19558389152351227,1.5100264979724536
C0036,true,arith,12 + 170 = 182,-0.9189472198486328,1.0908069610595703,2.009754180908203,28.90489959716797,19.55321502685547,-9.3516845703125,-1.4872608184814453,0.7411766052246094,-1.4491920471191406,1.2827776670557753,0.17396672645654795,1.2638356632406116
C0155,true,fact,The Pacific Ocean is larger than the Atlantic Ocean,0.8906536102294922,0.9676799774169922,0.0770263671875,26.572420120239258,22.23832130432129,-4.334098815917969,-0.1617870330810547,0.7730808258056641,-0.04319953918457031,14.663381537242472,2.5263965927099843,13.123811410459588
C0106,false,arith,151 + 57 = 199,-1.2932624816894531,0.4424896240234375,1.7357521057128906,29.435060501098633,19.583343505859375,-9.851716995239258,-2.2534217834472656,0.09615898132324219,-2.1966514587402344,1.5531661454407197,0.19952770995369404,1.520459675133017
C0119,false,arith,28 + 64 = 89,-0.6519851684570312,1.1772956848144531,1.8292808532714844,28.079729080200195,18.184783935546875,-9.89494514465332,-1.5834579467773438,0.8294887542724609,-1.5148258209228516,1.5092016224050382,0.19013314982222362,1.471682984557957
C0092,false,arith,62 + 146 = 201,-0.7721843719482422,1.0374889373779297,1.8096733093261719,28.63865852355957,19.216472625732422,-9.422185897827148,-1.5717525482177734,0.6895751953125,-1.521047592163086,1.4418301204692292,0.1922522370598341,1.4138112754139482
C0120,false,arith,49 + 138 = 193,-0.49750328063964844,1.1480293273925781,1.6455326080322266,28.410707473754883,18.802366256713867,-9.608341217041016,-1.4961814880371094,0.8412704467773438,-1.420328140258789,1.6069027149767077,0.18641920501476122,1.5608061822139643
C0133,false,arith,40 + 49 = 90,-1.3290252685546875,0.19168663024902344,1.520711898803711,28.664854049682617,20.380247116088867,-8.28460693359375,-2.0452194213867188,-0.13623428344726562,-1.958993911743164,1.4709597875806952,0.21563644892517286,1.4142590346561041
C0016,true,arith,108 + 57 = 165,-0.5131893157958984,1.2083511352539062,1.7215404510498047,28.151535034179688,18.54653549194336,-9.604999542236328,-1.4690074920654297,0.8617057800292969,-1.4084701538085938,1.5552109889062835,0.20135765907401315,1.5200463558476063
